label	level	kind	unit	evidence	definition	aliases	man
index cross-talk	3	eroare	lab04	lab04#exemple_de_programe	Folosirea greșită a indicilor în bucle imbricate, de exemplu v[j] în loc de v[i].	indici folosiți greșit în bucle imbricate	
verificarea indicilor	2	bună practică	lab04	lab04#exemple_de_programe	Verificarea că un indice e între 0 și dimensiunea-1 înainte de acces, mai ales când provine din date externe (tastatură, parametri).	verificați că indicii se încadrează;verific daca indexul este valid	
constantă simbolică	2	bună practică	lab04	lab04#vectori,lab04#exemple_de_programe,coding-style#programs	Nume definit cu #define (ex. `#define NMAX 100`) folosit pentru dimensiunile tablourilor în loc de valori scrise direct, ca să poată fi schimbate într-un singur loc.	constante simbolice;NMAX	
reprezentarea tablourilor în memorie	2	noțiune	lab04	lab04#reprezentarea_in_memorie	Un tablou ocupă o zonă continuă de memorie de sizeof(T) înmulțit cu dimensiunile; numele tabloului înseamnă adresa de început, iar matricele se memorează linie după linie.	reprezentarea în memorie;zonă continuă de memorie	
tablou ca parametru	2	noțiune	lab04	lab04#reprezentarea_in_memorie,lab04#lab-exercitii	La un parametru de tip vector nu e necesară dimensiunea; la tablouri cu m dimensiuni trebuie precizate ultimele m-1 dimensiuni (ex. `int a[][NMAX]`).	parametru al unei funcții, de tip vector;primește ca parametru un vector	
numărul de elemente al unui tablou	2	tehnică	good-practices	good-practices#exemplu,lab04#problemset	Pentru un tablou declarat local, expresia `sizeof(v) / sizeof(v[0])` dă numărul de elemente.	sizeof(v) / sizeof(v[0]);sizeof(v) / sizeof(int)	
interschimbare	1	tehnică	lab04	lab04#exemple_de_programe,lab04#bubble_sort	Schimbarea între ele a valorilor a două variabile folosind o variabilă auxiliară: aux = v[i]; v[i] = v[j]; v[j] = aux.	interschimbarea;interschimbă;interschimbate;swap	
căutare secvențială	1	tehnică	lab04	lab04#cautare_secventiala,lab04#lab-exercitii	Compararea pe rând a fiecărui element din vector cu valoarea căutată, oprind căutarea la prima găsire; funcționează și pe vectori nesortați.	căutarea secvențială;căutare liniară;caută liniar	
căutare binară	1	tehnică	lab04	lab04#cautare_binara_iterativa,lab04#problemset	Căutare într-un vector sortat: se compară valoarea cu elementul din mijloc și se continuă doar în jumătatea potrivită, până se găsește sau intervalul devine gol.	căutarea binară;binary search;binary_search	
calcularea mijlocului intervalului	3	bună practică	lab04	lab04#cautare_binara_iterativa	Mijlocul lui [low, high] se calculează ca low + (high - low) / 2, nu (low + high) / 2, care poate da overflow pentru valori mari.	mijlocul intervalului;low + (high - low) / 2	
sortare	1	tehnică	lab04	lab04#sortarea_prin_selectie,lab04#bubble_sort,read-docs#cum_integram_o_functionalitate_in_codul_nostru	Aranjarea elementelor unui vector într-o anumită ordine (crescătoare sau descrescătoare).	sortarea;sortează;sortat;sortări	
bubble sort	1	tehnică	lab04	lab04#bubble_sort	Metoda bulelor: se parcurge vectorul comparând elementele vecine și interschimbându-le dacă nu sunt în ordine, până nu mai apare nicio interschimbare. Simplă, dar ineficientă.	metoda bulelor;Bubble Sort	
sortare prin selecție	1	tehnică	lab04	lab04#sortarea_prin_selectie,lab04#lab-exercitii	Se caută minimul din vector și se interschimbă cu primul element, apoi se repetă pentru restul vectorului, care devine tot mai mic.	sortarea prin selecție;selection sort	
înmulțirea matricelor	2	tehnică	lab04	lab04#inmultirea_matricelor,lab04#lab-exercitii	Pentru A (m×n) și B (n×p), (AB)[i][j] este suma produselor A[i][r]·B[r][j] după r; rezultatul e m×p și necesită trei bucle imbricate.	înmulțească 2 matrice	
